TimeSteps,"Static fine mesh",AMR/LB
0,0,0
1,0.0160694,0.000277778
2,0.0288083,0.000391667
3,0.0426556,0.000497222
4,0.0572722,0.0006
5,0.0722806,0.000702778
6,0.0876722,0.000808333
7,0.103328,0.000913889
8,0.119369,0.00101667
9,0.135733,0.00112222
10,0.152361,0.00123056
11,0.169253,0.00133611
12,0.186458,0.00144722
13,0.203481,0.00155556
14,0.220117,0.00166667
15,0.237375,0.00178056
16,0.254686,0.00189167
17,0.271911,0.00200278
18,0.289092,0.00211944
19,0.306214,0.00223333
20,0.323289,0.00234444
21,0.340367,0.00245278
22,0.357458,0.00256667
23,0.374472,0.00268056
24,0.391436,0.00279167
25,0.408417,0.00290278
26,0.4253,0.00301944
27,0.442242,0.00313889
28,0.45915,0.00325278
29,0.475997,0.00336389
30,0.492819,0.003475
31,0.509667,0.00358889
32,0.526542,0.0037
33,0.54335,0.00381111
34,0.560208,0.00392222
35,0.577081,0.00403333
36,0.594064,0.00414444
37,0.6109,0.00425833
38,0.62775,0.00437222
39,0.644625,0.00448611
40,0.661408,0.00459722
41,0.678017,0.00470833
42,0.694142,0.00481944
43,0.710317,0.00493056
44,0.726497,0.00503889
45,0.742633,0.00515278
46,0.758794,0.00526667
47,0.775044,0.00538889
48,0.7912,0.00551667
49,0.807375,0.00575
50,0.823494,0.00597778
51,0.839594,0.00624444
52,0.855722,0.00657778
53,0.871767,0.00696667
54,0.887831,0.0074
55,0.903908,0.007825
56,0.919917,0.00824722
57,0.935944,0.00865
58,0.951961,0.00905278
59,0.968006,0.009425
60,0.984025,0.00979167
61,0.999972,0.0101444
62,1.01602,0.0104889
63,1.03204,0.0108361
64,1.04804,0.011175
65,1.06412,0.0115083
66,1.08016,0.0118444
67,1.09628,0.0121806
68,1.11235,0.0125194
69,1.12833,0.0128722
70,1.14427,0.0132139
71,1.1602,0.0135639
72,1.17627,0.0139194
73,1.19228,0.014275
74,1.20822,0.0146278
75,1.22421,0.0149778
76,1.24018,0.015325
77,1.25613,0.0156722
78,1.27223,0.0160167
79,1.28868,0.0163694
80,1.30521,0.0167194
81,1.32178,0.0170639
82,1.33844,0.0174083
83,1.35514,0.0177528
84,1.37212,0.0180972
85,1.38877,0.0184417
86,1.40586,0.0187944
87,1.42297,0.0191361
88,1.44008,0.0194861
89,1.45722,0.0198389
90,1.47435,0.0201972
91,1.49147,0.0205472
92,1.50863,0.0208944
93,1.52568,0.0212444
94,1.54239,0.0215917
95,1.55936,0.02195
96,1.57655,0.0222972
97,1.59386,0.0226556
98,1.61058,0.0230167
99,1.62664,0.0233778
100,1.64277,0.0237306
101,1.65882,0.0240917
102,1.67492,0.0244528
103,1.69121,0.0248139
104,1.70746,0.0251722
105,1.72362,0.0255333
106,1.73977,0.0258917
107,1.75586,0.0262528
108,1.77172,0.0266083
109,1.78757,0.0269639
110,1.80333,0.0273222
111,1.8191,0.0276778
112,1.83484,0.0280306
113,1.85059,0.0283889
114,1.86674,0.0287444
115,1.88294,0.0291056
116,1.89922,0.0294722
117,1.91556,0.029825
118,1.932,0.0301806
119,1.94839,0.0305333
120,1.96473,0.0308861
121,1.98114,0.0312444
122,1.99747,0.0315944
123,2.0134,0.03195
124,2.02931,0.0323111
125,2.04518,0.0326722
126,2.06104,0.0330306
127,2.07686,0.0333944
128,2.09261,0.0337583
129,2.10851,0.0341222
130,2.12434,0.0344889
131,2.14019,0.0348556
132,2.15603,0.035225
133,2.17174,0.0355944
134,2.18734,0.0359556
135,2.20274,0.0363139
136,2.21812,0.0366722
137,2.23418,0.0370306
138,2.25054,0.0373861
139,2.26688,0.03775
140,2.28318,0.0381056
141,2.29944,0.0384639
142,2.31573,0.038825
143,2.33208,0.0391833
144,2.34848,0.0395444
145,2.36477,0.0399
146,2.381,0.0402583
147,2.39698,0.0406194
148,2.41228,0.0409806
149,2.42761,0.0413444
150,2.4429,0.0417083
151,2.45827,0.0420722
152,2.47367,0.0424389
153,2.48907,0.0428028
154,2.50443,0.0431722
155,2.51993,0.0435389
156,2.53532,0.0439083
157,2.55073,0.0442778
158,2.56608,0.0446472
159,2.58145,0.0450167
160,2.59674,0.0453861
161,2.61207,0.0457556
162,2.62748,0.0461333
163,2.64289,0.0464972
164,2.65826,0.0468694
165,2.67361,0.0472333
166,2.68914,0.0475972
167,2.70457,0.0479639
168,2.72005,0.0483278
169,2.7354,0.0486972
170,2.75083,0.0490611
171,2.76635,0.0494278
172,2.78184,0.0498
173,2.79732,0.0501639
174,2.81284,0.0505278
175,2.82841,0.0508861
176,2.84393,0.0512528
177,2.85941,0.0516111
178,2.87488,0.051975
179,2.89019,0.0523389
180,2.90638,0.0527056
181,2.92253,0.0530694
182,2.93839,0.0534361
183,2.95368,0.0538028
184,2.96901,0.0541694
185,2.98435,0.0545444
186,2.99969,0.0549139
187,3.01582,0.0552861
188,3.03189,0.0556528
189,3.04802,0.0560194
190,3.06408,0.0563861
191,3.08014,0.05675
192,3.09623,0.0571139
193,3.11225,0.0574806
194,3.12829,0.0578417
195,3.14439,0.0582111
196,3.15987,0.0585778
197,3.17542,0.0589389
198,3.19112,0.0593083
199,3.20682,0.0603056
200,3.22262,0.0606389
201,3.2384,0.060975
202,3.25411,0.0613
203,3.2699,0.061625
204,3.28641,0.0619472
205,3.30288,0.0622833
206,3.319,0.0626083
207,3.33438,0.0629333
208,3.34989,0.0632611
209,3.36534,0.0635861
210,3.38081,0.0639167
211,3.39626,0.0642417
212,3.41173,0.0645694
213,3.42724,0.0648972
214,3.44272,0.0652333
215,3.45822,0.0655611
216,3.4737,0.0658889
217,3.48926,0.0662139
218,3.50479,0.0665417
219,3.52033,0.0668639
220,3.53567,0.0671833
221,3.55098,0.0675056
222,3.56642,0.067825
223,3.58179,0.0681472
224,3.59722,0.0684722
225,3.61268,0.0688028
226,3.62813,0.0691361
227,3.64358,0.0694639
228,3.65926,0.0697917
229,3.67584,0.0701194
230,3.69246,0.0704444
231,3.709,0.0707722
232,3.72553,0.0711
233,3.74199,0.0714306
234,3.75763,0.0717611
235,3.77344,0.0720861
236,3.78918,0.0724222
237,3.80487,0.07275
238,3.8205,0.0730778
239,3.83624,0.0734056
240,3.85203,0.0737361
241,3.86776,0.0740639
242,3.88324,0.0743889
243,3.89856,0.074725
244,3.91389,0.07505
245,3.92917,0.075375
